jobID,  modelID,  status,  completionReason,  startTime,  endTime,  runtime(s),  expDesc,  numRecords,  modelParams|sensorParams|encoders|timestamp_weekend:radius,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius,  modelParams|clParams|alpha,  modelParams|tpParams|minThreshold,  modelParams|tpParams|activationThreshold,  modelParams|tpParams|pamLength,  modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius,  modelParams|sensorParams|encoders|kw_energy_consumption:n,  modelParams|sensorParams|encoders|_classifierInput|n,  modelParams|spParams|synPermInactiveDec,  multiStepBestPredictions:multiStep:errorMetric='aae':steps=[10]:window=1000:field=kw_energy_consumption,  multiStepBestPredictions:multiStep:errorMetric='altMAPE':steps=[10]:window=1000:field=kw_energy_consumption, 
1001,  1178,  completed,  eof,  2016-02-17 08:03:15,  2016-02-17 08:04:04,  49,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|kw_energy_consumption:n_272.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4391,  None,  None,  0.05005,  11,  14,  3,  None,  272,  275,  0.05015,  19.7776899678,  56.6644031718, 
1001,  1197,  completed,  eof,  2016-02-17 08:03:15,  2016-02-17 08:04:11,  56,  modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_3.5.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4391,  None,  None,  0.05005,  11,  14,  3,  3.5,  None,  275,  0.05015,  19.917611324,  57.0652872057, 
1001,  1220,  completed,  eof,  2016-02-17 08:03:15,  2016-02-17 08:03:47,  32,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_6.25.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4391,  None,  6.25,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  8.51073568905,  24.3838263799, 
1001,  1251,  completed,  eof,  2016-02-17 08:03:15,  2016-02-17 08:03:48,  33,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.05005.modelParams|tpParams|minThreshold_11.modelParams|tpParams|activationThreshold_14.modelParams|tpParams|pamLength_3.modelParams|sensorParams|encoders|_classifierInput|n_275.modelParams|spParams|synPermInactiveDec_0.05015,  4391,  1,  None,  0.05005,  11,  14,  3,  None,  None,  275,  0.05015,  20.9353658119,  59.9812218131, 
1001,  1272,  completed,  eof,  2016-02-17 08:03:15,  2016-02-17 08:03:48,  33,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|kw_energy_consumption:n_22.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  None,  0.0001,  9,  12,  1,  None,  22,  28,  0.1,  17.5003347901,  50.1396284297, 
1001,  1283,  completed,  eof,  2016-02-17 08:03:15,  2016-02-17 08:03:56,  41,  modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_1.0.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  None,  0.0001,  9,  12,  1,  1.0,  None,  28,  0.1,  14.8948506754,  42.6747423599, 
1001,  1284,  completed,  eof,  2016-02-17 08:03:47,  2016-02-17 08:04:21,  34,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_0.5.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  None,  0.5,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  10.7921754345,  30.9203036813, 
1001,  1285,  completed,  eof,  2016-02-17 08:03:48,  2016-02-17 08:04:15,  27,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.0001.modelParams|tpParams|minThreshold_9.modelParams|tpParams|activationThreshold_12.modelParams|tpParams|pamLength_1.modelParams|sensorParams|encoders|_classifierInput|n_28.modelParams|spParams|synPermInactiveDec_0.1,  4391,  1,  None,  0.0001,  9,  12,  1,  None,  None,  28,  0.1,  18.696867343,  53.5677741383, 
1001,  1286,  completed,  eof,  2016-02-17 08:03:48,  2016-02-17 08:05:02,  74,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|kw_energy_consumption:n_521.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  4391,  None,  None,  0.1,  12,  16,  5,  None,  521,  521,  0.0003,  18.8990550243,  54.1470553538, 
1001,  1287,  completed,  eof,  2016-02-17 08:03:56,  2016-02-17 08:05:17,  81,  modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_6.0.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  4391,  None,  None,  0.1,  12,  16,  5,  6.0,  None,  521,  0.0003,  26.4809275153,  75.869626611, 
1001,  1288,  completed,  eof,  2016-02-17 08:04:04,  2016-02-17 08:04:42,  38,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_12.0.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  4391,  None,  12.0,  0.1,  12,  16,  5,  None,  None,  521,  0.0003,  9.04963565057,  25.9278107754, 
1001,  1289,  completed,  eof,  2016-02-17 08:04:11,  2016-02-17 08:04:47,  36,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.1.modelParams|tpParams|minThreshold_12.modelParams|tpParams|activationThreshold_16.modelParams|tpParams|pamLength_5.modelParams|sensorParams|encoders|_classifierInput|n_521.modelParams|spParams|synPermInactiveDec_0.0003,  4391,  1,  None,  0.1,  12,  16,  5,  None,  None,  521,  0.0003,  21.1531536188,  60.6051984312, 
1001,  1290,  completed,  eof,  2016-02-17 08:04:15,  2016-02-17 08:04:55,  40,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|kw_energy_consumption:n_147.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  4391,  None,  None,  0.025075,  10,  13,  2,  None,  147,  151,  0.075075,  19.4862841117,  55.829505924, 
1001,  1291,  completed,  eof,  2016-02-17 08:04:21,  2016-02-17 08:05:09,  48,  modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|timestamp_dayOfWeek:radius_4.75.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  4391,  None,  None,  0.025075,  10,  13,  2,  4.75,  None,  151,  0.075075,  18.8060512272,  53.8805932615, 
1001,  1292,  completed,  eof,  2016-02-17 08:04:42,  2016-02-17 08:05:13,  31,  modelParams|sensorParams|encoders|timestamp_timeOfDay:radius_9.125.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  4391,  None,  9.125,  0.025075,  10,  13,  2,  None,  None,  151,  0.075075,  8.9818577036,  25.7336224289, 
1001,  1293,  completed,  eof,  2016-02-17 08:04:47,  2016-02-17 08:05:17,  30,  modelParams|sensorParams|encoders|timestamp_weekend:radius_1.modelParams|clParams|alpha_0.025075.modelParams|tpParams|minThreshold_10.modelParams|tpParams|activationThreshold_13.modelParams|tpParams|pamLength_2.modelParams|sensorParams|encoders|_classifierInput|n_151.modelParams|spParams|synPermInactiveDec_0.075075,  4391,  1,  None,  0.025075,  10,  13,  2,  None,  None,  151,  0.075075,  21.0596709082,  60.3373642194, 
